наименование,URL,цена
SAMSUNGGalaxyS7edge,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s7_edge_1816999014,7 990    руб.,//50.img.avito.st/208x156/6154355450.jpg
SAMSUNGGalaxyS8,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s8_1817135362,16 490    руб.,//25.img.avito.st/208x156/6154365425.jpg
SAMSUNGGalaxyS8,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s8_1817188364,17 990    руб.,//53.img.avito.st/208x156/6161669953.jpg
SAMSUNG,https://www.avito.ru/kanash/telefony/samsung_1785007234,2 000    руб.,//88.img.avito.st/208x156/5945447588.jpg
SAMSUNG,https://www.avito.ru/astrahan/telefony/samsung_1807588863,15 000    руб.,//02.img.avito.st/208x156/6230787902.jpg
SAMSUNG,https://www.avito.ru/cheboksary/telefony/samsung_1706164869?slocation=621540,2 000    руб.,//75.img.avito.st/208x156/4663177775.jpg
SAMSUNG,https://www.avito.ru/cheboksary/telefony/samsung_1180815069?slocation=621540,1 000    руб.,//74.img.avito.st/208x156/4663190674.jpg
Жёсткийдиск2тБHd204uiSAMSUNG,https://www.avito.ru/moskva/tovary_dlya_kompyutera/zhestkiy_disk_2tb_hd204ui_samsung_1819164430?slocation=621540,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNGGalaxyS7,https://www.avito.ru/sankt-peterburg/telefony/samsung_galaxy_s7_1811545872,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNGGalaxyNote9,https://www.avito.ru/tambov/telefony/samsung_galaxy_note_9_1760918050?slocation=621540,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNGGalaxyA8,https://www.avito.ru/tambov/telefony/samsung_galaxy_a8_1760191193?slocation=621540,9 990    руб.,//33.img.avito.st/208x156/5857901433.jpg
SAMSUNGGalaxyA8Plus,https://www.avito.ru/tambov/telefony/samsung_galaxy_a8_plus_1760795699,13 490    руб.,//26.img.avito.st/208x156/5858063226.jpg
